City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,banda aceh,5.5577,95.3222,28.91,67,100,6.62,ID,1690878991
1,burns lake,54.2331,-125.7533,5.68,89,22,0.9,CA,1690878872
2,geraldton,-28.7667,114.6,22.23,33,0,5.14,AU,1690878948
3,ranong,9.9658,98.6348,29.96,80,88,6.65,TH,1690879037
4,pasighat,28.0667,95.3333,35.68,55,99,1.41,IN,1690879037
5,rawson,-43.3002,-65.1023,12.87,39,0,18.43,AR,1690878873
6,beni,0.5,29.4667,28.78,44,89,1.64,CD,1690878873
7,kisaran,2.9845,99.6158,25.49,93,100,0.41,ID,1690879038
8,leningradskiy,69.3833,178.4167,2.46,97,100,2.15,RU,1690879038
9,viedma,-40.8135,-62.9967,15.35,43,3,9.43,AR,1690879038
10,upernavik,72.7868,-56.1549,4.24,72,51,2.6,GL,1690879038
11,cape town,-33.9258,18.4232,13.95,60,0,4.02,ZA,1690879038
12,sao jose da coroa grande,-8.8978,-35.1478,23.58,86,65,1.37,BR,1690878874
13,portland,45.5234,-122.6762,18.99,74,0,3.6,US,1690878875
14,mirnyy,62.5353,113.9611,21.15,33,57,2.32,RU,1690878875
15,rikitea,-23.1203,-134.9692,21.5,66,100,10.02,PF,1690879039
16,bredasdorp,-34.5322,20.0403,12.39,59,35,1.85,ZA,1690879039
17,kruisfontein,-34.0033,24.7314,13.09,58,35,4.03,ZA,1690879039
18,hobe sound,27.0595,-80.1364,25.53,94,97,1.54,US,1690879039
19,hermanus,-34.4187,19.2345,11.56,63,46,2.71,ZA,1690879040
20,busselton,-33.65,115.3333,16.82,76,1,6.45,AU,1690879040
21,poum,-20.2333,164.0167,21.05,65,93,5.05,NC,1690879040
22,port alfred,-33.5906,26.891,15.66,62,91,3.58,ZA,1690879040
23,ponta do sol,32.6667,-17.1,27.23,77,2,2.45,PT,1690879041
24,burnie,-41.0667,145.9167,7.47,77,6,3.34,AU,1690879041
25,broome,42.2506,-75.833,13.09,96,0,0.45,US,1690879041
26,vaini,-21.2,-175.2,20.09,77,75,5.66,TO,1690879041
27,ushuaia,-54.8,-68.3,2.81,75,0,1.03,AR,1690879041
28,biak,-0.9131,122.8766,26.12,80,51,3.74,ID,1690878878
29,tiksi,71.6872,128.8694,7.18,82,65,1.89,RU,1690879042
30,gerash,27.6652,54.1371,40.08,16,1,0.38,IR,1690879042
31,lebu,-37.6167,-73.65,10.9,89,39,2.3,CL,1690879042
32,puerto ayora,-0.7393,-90.3518,23.64,95,79,2.61,EC,1690879042
33,ratangarh,28.0833,74.6,35.66,44,71,4.32,IN,1690878879
34,hithadhoo,-0.6,73.0833,27.98,71,68,2.47,MV,1690879043
35,dragor,55.5946,12.6664,18.9,93,75,3.6,DK,1690879043
36,north bend,43.4065,-124.2243,15.04,94,100,5.14,US,1690879043
37,weihe,32.9952,105.3247,29.65,48,54,2.24,CN,1690879043
38,manggar,-2.8833,108.2667,28.79,73,28,5.35,ID,1690879043
39,yellowknife,62.456,-114.3525,16.29,72,75,4.12,CA,1690879044
40,provideniya,64.3833,-173.3,10.67,87,99,2.46,RU,1690879044
41,pevek,69.7008,170.3133,1.17,97,100,1.87,RU,1690879044
42,miraflores,19.2167,-98.8083,16.68,96,100,1.5,MX,1690878880
43,port elizabeth,-33.918,25.5701,14.16,62,0,7.2,ZA,1690879044
44,butaritari,3.0707,172.7902,27.9,76,100,3.59,KI,1690879045
45,bambous virieux,-20.3428,57.7575,25.68,73,75,6.69,MU,1690879045
46,nizhniy tsasuchey,50.5167,115.1333,36.39,24,63,2.25,RU,1690878881
47,ballangen,68.3428,16.8315,22.12,49,0,4.12,NO,1690878881
48,ribeira grande,38.5167,-28.7,24.32,94,40,3.09,PT,1690879045
49,kelvington,52.1667,-103.5343,15.31,87,6,1.21,CA,1690879046
50,port hardy,50.6996,-127.4199,12.1,100,40,2.06,CA,1690878881
51,vila velha,-20.3297,-40.2925,18.86,95,40,1.03,BR,1690879046
52,vila,42.0304,-8.1588,13.49,74,91,1.46,PT,1690879046
53,katsuura,35.1333,140.3,27.21,86,77,5.75,JP,1690878928
54,la rioja,42.25,-2.5,17.88,45,8,2.23,ES,1690878822
55,kapaa,22.0752,-159.319,27.18,83,20,5.66,US,1690879047
56,oranjemund,-28.55,16.4333,17.95,32,0,7.37,NA,1690879047
57,nanga eboko,4.6833,12.3667,24.62,79,100,2.15,CM,1690879047
58,ancud,-41.8697,-73.8203,8.31,76,93,7.64,CL,1690879047
59,mar del plata,-38.0023,-57.5575,12.83,92,18,5.14,AR,1690879047
60,georgetown,5.4112,100.3354,31.64,68,20,4.63,MY,1690878879
61,fortuna,40.5982,-124.1573,15.52,92,100,0.45,US,1690879048
62,arraial do cabo,-22.9661,-42.0278,19.23,87,77,3.84,BR,1690879048
63,hobart,-42.8794,147.3294,9.01,68,40,1.54,AU,1690878856
64,ondjiva,-17.0667,15.7333,21.06,9,6,5.39,AO,1690878884
65,new norfolk,-42.7826,147.0587,8.82,77,71,1.36,AU,1690879049
66,jamestown,42.097,-79.2353,13.73,100,100,1.54,US,1690879049
67,machico,32.7,-16.7667,27.23,75,20,6.69,PT,1690879049
68,malinovskiy,61.1953,62.8397,22.6,53,100,1.77,RU,1690878885
69,alofi,-19.0595,-169.9187,19.94,100,100,7.2,NU,1690878886
